Plasmid,Primer,Replicate,Ct
CEN,URA3,1,22.75
CEN,URA3,1,22.34
CEN,URA3,2,22.8
CEN,URA3,2,22.36
CEN,URA3,3,23.25
CEN,URA3,3,22.85
CEN,URA3,4,20.57
CEN,URA3,4,20.74
2u:C,URA3,1,16.53
2u:C,URA3,1,16.79
2u:C,URA3,2,15.41
2u:C,URA3,2,15.26
2u:C,URA3,3,15.63
2u:C,URA3,3,15.34
2u:C,URA3,4,13.28
2u:C,URA3,4,12.65
2u:min,URA3,1,16.46
2u:min,URA3,1,16.81
2u:min,URA3,2,18.29
2u:min,URA3,2,17.02
2u:min,URA3,3,17.38
2u:min,URA3,3,17.01
2u:min,URA3,4,16.41
2u:min,URA3,4,15.43
2u:sta,URA3,1,17.44
2u:sta,URA3,1,16.32
2u:sta,URA3,2,17.28
2u:sta,URA3,2,17.18
2u:sta,URA3,3,13.98
2u:sta,URA3,3,13.53
2u:sta,URA3,4,16.51
2u:sta,URA3,4,14.78
2u:max,URA3,1,18.43
2u:max,URA3,1,18.08
2u:max,URA3,2,19.24
2u:max,URA3,2,19.03
2u:max,URA3,3,19.39
2u:max,URA3,3,19.21
2u:max,URA3,4,18.49
2u:max,URA3,4,18.72
CEN,LEU3,1,21.86
CEN,LEU3,1,21.75
CEN,LEU3,2,21.63
CEN,LEU3,2,21.88
CEN,LEU3,3,22.09
CEN,LEU3,3,21.93
CEN,LEU3,4,20.26
CEN,LEU3,4,20.31
2u:C,LEU3,1,20.12
2u:C,LEU3,1,19.63
2u:C,LEU3,2,19.26
2u:C,LEU3,2,19.16
2u:C,LEU3,3,19.14
2u:C,LEU3,3,18.86
2u:C,LEU3,4,18.63
2u:C,LEU3,4,18.14
2u:min,LEU3,1,20.33
2u:min,LEU3,1,20.36
2u:min,LEU3,2,21.46
2u:min,LEU3,2,21.2
2u:min,LEU3,3,20.08
2u:min,LEU3,3,20.01
2u:min,LEU3,4,19.76
2u:min,LEU3,4,19.64
2u:sta,LEU3,1,19.79
2u:sta,LEU3,1,20.04
2u:sta,LEU3,2,20.32
2u:sta,LEU3,2,21.09
2u:sta,LEU3,3,17.82
2u:sta,LEU3,3,17.69
2u:sta,LEU3,4,18.73
2u:sta,LEU3,4,19.83
2u:max,LEU3,1,20.3
2u:max,LEU3,1,20.11
2u:max,LEU3,2,20.04
2u:max,LEU3,2,19.55
2u:max,LEU3,3,20.36
2u:max,LEU3,3,20.41
2u:max,LEU3,4,20.63
2u:max,LEU3,4,20.52
