Content,"Well
Col","Well
Row",Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595)
,,Time,0 h ,0 h 30 min,1 h ,1 h 30 min,2 h ,2 h 30 min,3 h ,3 h 30 min,4 h ,4 h 30 min,5 h ,5 h 30 min,6 h ,6 h 30 min,7 h ,7 h 30 min,8 h ,8 h 30 min,9 h ,9 h 30 min,10 h ,10 h 30 min,11 h ,11 h 30 min,12 h ,12 h 30 min,13 h ,13 h 30 min,14 h ,14 h 30 min,15 h ,15 h 30 min,16 h ,16 h 30 min,17 h ,17 h 30 min,18 h ,18 h 30 min
UWOPS05-227.2:C,2,C,0.403,0.404,0.389,0.392,0.392,0.394,0.401,0.407,0.416,0.427,0.44,0.46,0.475,0.49,0.52,0.553,0.605,0.678,0.783,0.891,1.02,1.159,1.318,1.486,1.668,1.854,2.042,2.229,2.41,2.583,2.739,2.877,2.999,3.108,3.168,3.18,3.2,3.218
UWOPS05-227.2:C,3,C,0.4,0.384,0.384,0.373,0.384,0.372,0.37,0.353,0.354,0.39,0.358,0.364,0.342,0.333,0.352,0.357,0.399,0.496,0.588,0.57,0.709,0.805,0.909,1.05,1.144,1.228,1.383,1.483,1.645,1.755,1.904,1.995,2.114,2.218,2.341,2.434,2.535,2.627
UWOPS05-227.2:max,4,C,0.405,0.39,0.378,0.376,0.378,0.383,0.383,0.377,0.379,0.372,0.381,0.39,0.393,0.416,0.413,0.437,0.468,0.489,0.509,0.544,0.602,0.662,0.744,0.813,0.897,0.995,1.101,1.216,1.334,1.475,1.623,1.77,1.924,2.068,2.226,2.363,2.484,2.599
UWOPS05-227.2:max,5,C,0.462,0.396,0.388,0.387,0.392,0.404,0.397,0.39,0.378,0.367,0.371,0.37,0.358,0.353,0.376,0.419,0.382,0.42,0.419,0.472,0.429,0.46,0.501,0.569,0.543,0.592,0.738,0.772,0.85,0.981,1.01,1.213,1.195,1.443,1.596,1.722,1.9,1.891
UWOPS05-227.2:max,6,C,0.376,0.368,0.355,0.353,0.359,0.348,0.354,0.351,0.352,0.369,0.362,0.371,0.351,0.376,0.374,0.365,0.366,0.368,0.371,0.376,0.387,0.411,0.426,0.454,0.492,0.549,0.604,0.667,0.741,0.82,0.921,1.044,1.173,1.31,1.464,1.62,1.779,1.941
Y55:C,1,D,0.472,0.441,0.441,0.442,0.452,0.478,0.514,0.555,0.607,0.661,0.763,0.888,1.045,1.249,1.47,1.711,1.963,2.192,2.403,2.583,2.728,2.804,2.792,2.794,2.794,2.803,2.814,2.826,2.837,2.858,2.875,2.894,2.913,2.936,2.951,2.97,2.99,3.01
Y55:C,2,D,0.466,0.453,0.436,0.438,0.444,0.462,0.497,0.536,0.571,0.611,0.666,0.763,0.898,1.064,1.261,1.484,1.722,1.963,2.196,2.409,2.595,2.756,2.88,2.941,2.93,2.932,2.941,2.946,2.964,2.974,2.997,3.015,3.04,3.065,3.086,3.103,3.126,3.149
Y55:C,3,D,0.487,0.449,0.442,0.45,0.464,0.482,0.519,0.574,0.603,0.657,0.752,0.877,1.037,1.234,1.46,1.707,1.954,2.187,2.396,2.579,2.734,2.853,2.865,2.864,2.861,2.871,2.881,2.89,2.909,2.929,2.945,2.962,2.99,3.012,3.031,3.054,3.071,3.099
Y55:max,4,D,0.461,0.424,0.417,0.419,0.426,0.436,0.453,0.485,0.506,0.525,0.57,0.621,0.703,0.818,0.952,1.105,1.286,1.488,1.702,1.91,2.118,2.306,2.474,2.619,2.74,2.843,2.897,2.89,2.886,2.9,2.905,2.917,2.94,2.966,2.981,3.013,3.043,3.062
Y55:max,5,D,0.468,0.427,0.423,0.421,0.431,0.439,0.46,0.49,0.522,0.55,0.595,0.656,0.746,0.866,1.007,1.177,1.371,1.581,1.797,2.014,2.221,2.417,2.582,2.727,2.847,2.941,2.982,2.972,2.982,2.985,2.997,3.014,3.03,3.052,3.071,3.096,3.123,3.146
Y55:max,6,D,0.467,0.434,0.431,0.43,0.431,0.444,0.478,0.513,0.533,0.552,0.589,0.644,0.721,0.815,0.931,1.072,1.231,1.409,1.6,1.779,1.964,2.151,2.318,2.47,2.605,2.721,2.809,2.821,2.835,2.853,2.876,2.896,2.919,2.953,2.974,3.008,3.035,3.057
