User: CLAUDIA,,,Path: C:\Program Files\BMG\OPTIMA\CLAUDIA\Data\\,,,,,,,File Name: 347.dbf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Name: YEAST GROWTH CURVE,,,,,,,,Date: 22/05/2011,,Time: 13:50:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID1: 110522 2uControl media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absorbance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Content,"Well
Row","Well
Col",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,22.5,23,23.5,24,24.5,25
2u:C+AA,B,4,0.2315,0.2189,0.2188,0.2249,0.2354,0.2345,0.2443,0.251,0.2665,0.274,0.2925,0.3184,0.3384,0.371,0.4068,0.4562,0.5146,0.5875,0.6726,0.7793,0.8769,0.9807,1.097,1.2048,1.308,1.3987,1.4939,1.5503,1.5582,1.5615,1.5689,1.5718,1.5765,1.5829,1.5861,1.5913,1.5959,1.6036,1.6118,1.6125,1.6276,1.6326,1.6454,1.6559,1.6718,1.6814,1.6875,1.6937,1.6995,1.708,1.7154
2u:C+SC,B,5,0.2122,0.1989,0.2096,0.2107,0.209,0.2195,0.227,0.2337,0.2564,0.265,0.2785,0.3066,0.324,0.3504,0.3855,0.4222,0.4725,0.5407,0.6181,0.7124,0.8052,0.9095,1.0212,1.1338,1.2454,1.3545,1.4517,1.5397,1.6177,1.6465,1.6473,1.6461,1.6521,1.6574,1.659,1.654,1.6663,1.6702,1.6714,1.6806,1.6814,1.6945,1.7067,1.7076,1.7246,1.7355,1.741,1.7447,1.7643,1.7717,1.7853
2u:C+NS,B,6,0.223,0.2114,0.218,0.2298,0.2314,0.2394,0.2504,0.2589,0.2701,0.2745,0.285,0.2992,0.3212,0.3499,0.378,0.4225,0.479,0.5395,0.6148,0.7054,0.8126,0.9166,1.0333,1.1498,1.2688,1.3792,1.4902,1.588,1.683,1.7668,1.8364,1.8996,1.9236,1.9139,1.9173,1.9139,1.9173,1.9187,1.9159,1.9243,1.9173,1.9236,1.9201,1.9215,1.9215,1.9173,1.9236,1.9194,1.9152,1.9279,1.9159
2u:C+NS,C,1,0.3018,0.2172,0.2244,0.2292,0.2292,0.242,0.2475,0.2663,0.2638,0.2747,0.2876,0.3007,0.3204,0.3493,0.3831,0.4264,0.4818,0.5531,0.6305,0.7232,0.8241,0.9198,1.0188,1.1153,1.2126,1.2957,1.3744,1.4393,1.49,1.5447,1.564,1.5591,1.5621,1.5615,1.5631,1.5588,1.5582,1.5591,1.5606,1.5637,1.5539,1.5634,1.5655,1.5674,1.5724,1.5787,1.579,1.5874,1.5936,1.5989,1.6097
2u:C+Gluc,C,2,0.2183,0.2035,0.2168,0.2203,0.2292,0.2342,0.2474,0.2555,0.2805,0.3155,0.3217,0.3489,0.378,0.4179,0.4681,0.5362,0.6097,0.6956,0.7983,0.895,0.9968,1.1046,1.196,1.2919,1.3777,1.4463,1.5066,1.5588,1.5671,1.5618,1.5585,1.5671,1.5671,1.5658,1.5665,1.5671,1.5693,1.5618,1.5661,1.5683,1.5749,1.5749,1.5855,1.5874,1.5884,1.5946,1.606,1.6104,1.6184,1.6286,1.6337
2u:C+YNB,C,3,0.2427,0.2322,0.2347,0.244,0.2456,0.2595,0.2624,0.266,0.2838,0.2943,0.3137,0.3429,0.3587,0.3993,0.4364,0.5001,0.5618,0.6411,0.7326,0.8307,0.9252,1.0251,1.125,1.2128,1.2937,1.3614,1.4263,1.4802,1.5325,1.5832,1.6258,1.6718,1.7072,1.7485,1.7682,1.7994,1.8189,1.8273,1.8239,1.8189,1.8183,1.8189,1.8222,1.8161,1.8178,1.8183,1.8107,1.8156,1.8145,1.8189,1.8178
2u:C+AA,C,4,0.2393,0.2293,0.23,0.2389,0.2413,0.2501,0.2582,0.2622,0.2766,0.293,0.3116,0.3265,0.3588,0.3961,0.4339,0.4885,0.5604,0.6435,0.7325,0.8358,0.9408,1.0536,1.1563,1.2607,1.3526,1.4402,1.5168,1.5337,1.5299,1.5308,1.5406,1.5412,1.5429,1.5418,1.5489,1.5524,1.5536,1.5652,1.5755,1.5759,1.5851,1.5963,1.6159,1.6166,1.6272,1.6413,1.6502,1.6636,1.6742,1.681,1.69
2u:C+SC,C,5,0.2269,0.2109,0.2328,0.2378,0.2395,0.2409,0.2586,0.2671,0.2764,0.2848,0.3103,0.3285,0.3509,0.394,0.4305,0.4845,0.5518,0.6296,0.7207,0.8171,0.9231,1.0364,1.1487,1.2626,1.3633,1.4577,1.548,1.6111,1.6043,1.6043,1.6033,1.6094,1.604,1.6097,1.6125,1.608,1.617,1.6194,1.6251,1.6272,1.6355,1.6428,1.6533,1.6691,1.6738,1.685,1.6966,1.7025,1.7202,1.7273,1.741
2u:C+NS,C,6,0.2268,0.2148,0.232,0.2304,0.235,0.2487,0.2502,0.2639,0.2741,0.2831,0.3058,0.3314,0.3509,0.3857,0.432,0.4849,0.5501,0.6332,0.7214,0.8171,0.9265,1.0397,1.1622,1.2674,1.3794,1.4815,1.5784,1.6586,1.7392,1.802,1.8475,1.8493,1.8446,1.8463,1.844,1.8469,1.8475,1.8481,1.8451,1.8523,1.8487,1.8499,1.8505,1.8505,1.8487,1.8457,1.8493,1.8487,1.8547,1.8511,1.8613
2u:C+NS,D,1,0.218,0.2114,0.2243,0.2249,0.2332,0.2376,0.2453,0.256,0.2579,0.2746,0.2818,0.3044,0.325,0.3472,0.3787,0.4237,0.4724,0.5379,0.6092,0.6956,0.7929,0.8896,0.995,1.0907,1.191,1.2772,1.362,1.4295,1.4968,1.5409,1.5705,1.5699,1.5677,1.5689,1.5702,1.574,1.5696,1.5661,1.5699,1.5615,1.5665,1.5658,1.5658,1.5693,1.5749,1.5768,1.5819,1.5874,1.5887,1.5963,1.5996
2u:C+Gluc,D,2,0.2357,0.2296,0.239,0.248,0.2612,0.2774,0.2799,0.2888,0.3173,0.323,0.3521,0.3684,0.4043,0.4469,0.5092,0.5761,0.6576,0.7514,0.8463,0.946,1.052,1.1544,1.2538,1.3427,1.4205,1.4863,1.5456,1.5936,1.6043,1.6023,1.5943,1.6023,1.6006,1.5989,1.603,1.5999,1.6003,1.5989,1.5996,1.6036,1.607,1.6111,1.6097,1.6097,1.6191,1.6194,1.6222,1.6329,1.6413,1.6406,1.6476
2u:C+YNB,D,3,0.2387,0.2352,0.2406,0.2456,0.2523,0.2564,0.2656,0.2759,0.2851,0.3115,0.3196,0.3401,0.3663,0.4044,0.45,0.5063,0.573,0.6518,0.7469,0.8364,0.9364,1.041,1.1374,1.2335,1.3096,1.3786,1.4397,1.4984,1.5509,1.5989,1.6461,1.6842,1.7167,1.7489,1.7772,1.7983,1.8172,1.8134,1.815,1.8123,1.8079,1.8123,1.8058,1.8047,1.8069,1.7999,1.8042,1.8026,1.8079,1.8026,1.8036
2u:C+AA,D,4,0.216,0.2142,0.2188,0.2294,0.2367,0.2369,0.2426,0.2507,0.2665,0.2776,0.2925,0.3076,0.3332,0.3665,0.403,0.4472,0.5033,0.5806,0.6596,0.7528,0.8527,0.9577,1.0702,1.1787,1.2786,1.3716,1.4575,1.5389,1.5491,1.5548,1.5567,1.5661,1.5665,1.5724,1.5787,1.5822,1.589,1.5989,1.6019,1.608,1.6205,1.6268,1.6439,1.6465,1.6597,1.6726,1.6822,1.6798,1.6928,1.7055,1.7097
2u:C+SC,D,5,0.2141,0.2115,0.2192,0.2222,0.2252,0.2365,0.2433,0.2501,0.2657,0.2866,0.2981,0.3239,0.3479,0.3783,0.4197,0.4679,0.5317,0.6031,0.6869,0.7821,0.8807,0.9869,1.0955,1.2067,1.3058,1.3998,1.4902,1.5567,1.5628,1.5643,1.5606,1.5561,1.5724,1.5693,1.5746,1.5845,1.5829,1.591,1.5936,1.6077,1.6108,1.6247,1.6301,1.6402,1.6495,1.6706,1.6802,1.6887,1.7025,1.7076,1.7229
2u:C+NS,D,6,0.2329,0.2152,0.2171,0.2272,0.235,0.2408,0.2528,0.2584,0.2705,0.2797,0.2891,0.3062,0.3294,0.3555,0.3902,0.4497,0.4983,0.5699,0.6506,0.7459,0.8528,0.9523,1.073,1.186,1.2949,1.4055,1.5058,1.5996,1.6883,1.7599,1.8239,1.8529,1.8487,1.8493,1.8517,1.8463,1.8481,1.8469,1.8493,1.8446,1.8393,1.8428,1.8457,1.8399,1.8376,1.8405,1.8422,1.8434,1.8405,1.8381,1.8364
