User: VON DER HAAR,,,Path: C:\Program Files\BMG\OPTIMA\VONDERHAAR\Data\,,,,,,,Test ID: 201,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Name: YEAST GROWTH,,,,,,,,Date: 18/08/2011,,Time: 16:14:21,,,,,,,,,,,,,,,,,,,,,,,,,,
ID1: 110818 2µ CytFLucs Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absorbance,,,Absorbance values are displayed as OD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Content,"Well
Col","Well
Row","Raw Data (A595)
1 - 0 h  ","Raw Data (A595)
2 - 0 h 30 min ","Raw Data (A595)
3 - 1 h  ","Raw Data (A595)
4 - 1 h 30 min ","Raw Data (A595)
5 - 2 h  ","Raw Data (A595)
6 - 2 h 30 min ","Raw Data (A595)
7 - 3 h  ","Raw Data (A595)
8 - 3 h 30 min ","Raw Data (A595)
9 - 4 h  ","Raw Data (A595)
10 - 4 h 30 min ","Raw Data (A595)
11 - 5 h  ","Raw Data (A595)
12 - 5 h 30 min ","Raw Data (A595)
13 - 6 h  ","Raw Data (A595)
14 - 6 h 30 min ","Raw Data (A595)
15 - 7 h  ","Raw Data (A595)
16 - 7 h 30 min ","Raw Data (A595)
17 - 8 h  ","Raw Data (A595)
18 - 8 h 30 min ","Raw Data (A595)
19 - 9 h  ","Raw Data (A595)
20 - 9 h 30 min ","Raw Data (A595)
21 - 10 h  ","Raw Data (A595)
22 - 10 h 30 min ","Raw Data (A595)
23 - 11 h  ","Raw Data (A595)
24 - 11 h 30 min ","Raw Data (A595)
25 - 12 h  ","Raw Data (A595)
26 - 12 h 30 min ","Raw Data (A595)
27 - 13 h  ","Raw Data (A595)
28 - 13 h 30 min ","Raw Data (A595)
29 - 14 h  ","Raw Data (A595)
30 - 14 h 30 min ","Raw Data (A595)
31 - 15 h  ","Raw Data (A595)
32 - 15 h 30 min ","Raw Data (A595)
33 - 16 h  ","Raw Data (A595)
34 - 16 h 30 min "
,,,0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5
2u:C,1,A,0.4538,0.4458,0.4489,0.4527,0.4747,0.4837,0.4944,0.523,0.5502,0.5857,0.6307,0.6913,0.7801,0.8915,1.0203,1.1745,1.3473,1.5441,1.7418,1.9434,2.1435,2.3362,2.5186,2.6794,2.8271,2.9499,3.0566,3.1105,3.1007,3.1001,3.1027,3.1033,3.1027,3.104
2u:C,2,A,0.4869,0.47,0.4706,0.4745,0.4887,0.5008,0.541,0.5272,0.5299,0.5451,0.548,0.5935,0.64,0.6509,0.6059,0.662,0.7394,0.8348,0.9566,1.087,1.2379,1.4134,1.5711,1.7498,1.9113,2.071,2.2204,2.363,2.4877,2.6032,2.7013,2.7887,2.8576,2.8863
2u:C,3,A,0.4963,0.4693,0.4714,0.4726,0.4826,0.4904,0.5,0.5146,0.5314,0.5565,0.5984,0.6482,0.7187,0.8033,0.9121,1.0392,1.187,1.3593,1.5437,1.7357,1.929,2.1173,2.2984,2.4674,2.6214,2.7649,2.8863,2.9984,3.0936,3.1535,3.1661,3.1773,3.1788,3.1823
2u:C,4,A,0.5005,0.4863,0.4803,0.4826,0.4897,0.4869,0.5008,0.4985,0.5197,0.5356,0.5641,0.6094,0.6232,0.6811,0.7572,0.8542,0.9662,1.0999,1.2471,1.4059,1.5768,1.746,1.9166,2.0737,2.2275,2.3687,2.5019,2.6192,2.7254,2.8211,2.8964,2.9613,2.9791,2.9858
2u:C,5,A,0.4837,0.4704,0.4688,0.4735,0.4775,0.4767,0.4893,0.4973,0.5077,0.5213,0.523,0.541,0.5766,0.6038,0.6098,0.6616,0.7365,0.8237,0.9359,1.0582,1.2014,1.3481,1.5114,1.6679,1.8249,1.9749,2.1195,2.2589,2.3766,2.4884,2.5932,2.6814,2.7614,2.8151
2u:C,6,A,0.5938,0.5394,0.5271,0.5273,0.5357,0.546,0.5614,0.5884,0.639,0.6987,0.7841,0.886,1.0124,1.1605,1.3228,1.5129,1.6947,1.8875,2.0745,2.257,2.4321,2.5897,2.7233,2.8403,2.9456,3.0007,2.9915,2.9904,2.9881,2.9904,2.9904,2.9955,2.9961,2.9955
2u:min,1,B,0.4513,0.4445,0.4445,0.4491,0.4531,0.4534,0.4589,0.4685,0.478,0.4879,0.5057,0.5283,0.5576,0.6003,0.6523,0.7163,0.7977,0.8988,1.0184,1.1509,1.2976,1.4566,1.6238,1.7879,1.9526,2.1103,2.2605,2.3982,2.5275,2.6429,2.7507,2.8408,2.9175,2.958
2u:min,2,B,0.4513,0.4539,0.4543,0.452,0.4582,0.4616,0.4679,0.4774,0.4867,0.4997,0.5161,0.5353,0.5619,0.5981,0.6478,0.7031,0.777,0.8677,0.9818,1.1109,1.259,1.4171,1.5859,1.7553,1.9243,2.0927,2.252,2.4039,2.538,2.6623,2.7723,2.8718,2.9619,3.0205
2u:min,3,B,0.4518,0.4362,0.4365,0.4384,0.4478,0.4563,0.4661,0.4804,0.5068,0.5234,0.5488,0.5795,0.6199,0.6786,0.7553,0.846,0.955,1.0819,1.2342,1.398,1.5621,1.7349,1.908,2.0684,2.2225,2.3651,2.4934,2.609,2.7135,2.7945,2.8437,2.8572,2.865,2.8704
