Plasmid,Primer,Replicate,Ct
CEN,URA3,1,16.67
CEN,URA3,1,16.54
CEN,URA3,2,18.4
CEN,URA3,2,18.32
CEN,URA3,3,18.27
CEN,URA3,3,19.56
2u:C,URA3,1,12.67
2u:C,URA3,1,12.65
2u:C,URA3,2,13.79
2u:C,URA3,2,13.8
2u:C,URA3,3,12.93
2u:C,URA3,3,13.18
2u:max,URA3,1,15.12
2u:max,URA3,1,15.14
2u:max,URA3,2,15.48
2u:max,URA3,2,15.46
2u:max,URA3,3,15.31
2u:max,URA3,3,15.34
2u:maxSTOP,URA3,1,13.39
2u:maxSTOP,URA3,1,13.3
2u:maxSTOP,URA3,2,13.27
2u:maxSTOP,URA3,2,13.24
2u:maxSTOP,URA3,3,13.7
2u:maxSTOP,URA3,3,13.85
CEN,LEU3,1,16.66
CEN,LEU3,1,16.82
CEN,LEU3,2,17.08
CEN,LEU3,2,17.19
CEN,LEU3,3,18.08
CEN,LEU3,3,18.1
2u:C,LEU3,1,16.5
2u:C,LEU3,1,16.35
2u:C,LEU3,2,17.01
2u:C,LEU3,2,17.11
2u:C,LEU3,3,16.63
2u:C,LEU3,3,16.69
2u:max,LEU3,1,17.27
2u:max,LEU3,1,17.03
2u:max,LEU3,2,17.39
2u:max,LEU3,2,17.34
2u:max,LEU3,3,17.04
2u:max,LEU3,3,17.41
2u:maxSTOP,LEU3,1,16.26
2u:maxSTOP,LEU3,1,16.21
2u:maxSTOP,LEU3,2,16.94
2u:maxSTOP,LEU3,2,16.93
2u:maxSTOP,LEU3,3,16.96
2u:maxSTOP,LEU3,3,16.95
